beds,Ashfield,Botany Bay,Lane Cove,Leichhardt,Marrickville,Mosman,North Sydney,Randwick,Sydney,Waverley,Woollahra,Auburn,Bankstown,Burwood,Canterbury,Canada Bay,Hunters Hill,Hurstville,Kogarah,Ku-ring-gai,Manly,Parramatta,Rockdale,Ryde,Strathfield,Willoughby,The Hills Shire,Blacktown,Blue Mountains,Camden,Campbelltown,Fairfield,Gosford,Hawkesbury,Holroyd,Hornsby,Liverpool,Penrith,Pittwater,Sutherland Shire,Warringah,Wollondilly,Wyong,Cessnock,Kiama,Lake Macquarie,Maitland,Newcastle,Port Stephens,Shellharbour,Wollongong
one_bed,390,550,510,465,440,480,525,520,550,600,523,450,290,445,350,530,,405,413,485,590,400,460,450,460,550,450,275,293,300,295,260,280,278,318,430,295,250,450,380,470,,250,198,,230,200,250,235,230,260
two_bed,480,680,600,700,580,650,695,650,750,770,750,520,420,550,420,640,575,470,480,630,750,455,500,500,540,650,520,370,360,380,350,350,360,350,420,500,370,340,620,480,610,350,330,270,420,340,290,375,300,330,370
three_bed,705,790,800,885,800,1150,950,900,1000,1100,1263,550,520,650,580,790,900,608,610,850,1163,530,635,660,650,950,600,430,420,450,410,450,450,440,500,630,470,420,850,650,850,425,395,315,480,390,350,430,370,453,480
four_plus_bed,785,1120,1275,1173,970,1850,1400,1250,1200,1600,2100,655,650,915,710,985,1350,750,775,1200,1613,655,750,850,780,1275,700,580,533,540,500,565,595,600,630,780,580,540,1150,818,1150,550,490,390,600,480,410,500,480,580,620
